date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:54	350860/350860	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:3e1f04cb2c21f8f2f355ebcad301073d%22	https://coastalpets.co.za/account/login?return_url=%2Faccount	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/account/login4236.html	(from )
15:03:56	556/556	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:34ce820f56f8d322422c2857011cadbf%22	https://coastalpets.co.za/robots.txt		(from )
15:03:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:03:57%20GMT	http://coastalpets.co.za/cdn/shop/files/Coastal_Logo_singular_96x96.jpg?v=1675148660	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/files/Coastal_Logo_singular_96x96.288f4.delayed	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:03:59	350780/350780	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:4f027f1d859009b2e74bd526527298da%22	https://coastalpets.co.za/account/login	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/account/login.html	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:01	5719/5719	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2009:25:15%20GMT	https://coastalpets.co.za/cdn/shop/files/Coastal_Logo_singular_96x96.jpg?v=1675148660	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/files/Coastal_Logo_singular_96x9688f4.jpg	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:02%20GMT	http://coastalpets.co.za/cdn/shop/t/13/assets/theme.css?v=179700503756231500981705502776	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/t/13/assets/theme999a.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:02%20GMT	http://coastalpets.co.za/cdn/shop/t/13/assets/theme.js?v=172328226944126308931705502776	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/t/13/assets/theme28c1.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:02	453488/453488	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2009%20Feb%202024%2009:13:08%20GMT	https://coastalpets.co.za/cdn/shop/t/13/assets/theme.js?v=172328226944126308931705502776	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/t/13/assets/theme28c1.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:03	190075/190075	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Feb%202024%2009:09:08%20GMT	https://coastalpets.co.za/cdn/shop/t/13/assets/theme.css?v=179700503756231500981705502776	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/t/13/assets/theme999a.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:03	3716/3716	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Apr%202024%2013:04:03%20GMT	https://coastalpets.co.za/checkouts/internal/preloads.js?locale=en-ZA	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/checkouts/internal/preloads931e.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
